Produco de Matrices cuadradas de 1's y 2's en C++ pero compilado en Ideone:

link | https://ideone.com/ll9qDg |

Éxito	#stdin #stdout 0.23s 4408KB
Promedio tiempo para 2x2 es: 2.500000e-08
Promedio tiempo para 3x3 es: 7.407407e-09
Promedio tiempo para 4x4 es: 2.343750e-09
Promedio tiempo para 5x5 es: 1.200000e-09
Promedio tiempo para 6x6 es: 6.944444e-10
Promedio tiempo para 7x7 es: 1.311953e-09
Promedio tiempo para 8x8 es: 1.171875e-09
Promedio tiempo para 9x9 es: 1.646091e-09
Promedio tiempo para 10x10 es: 9.500000e-10
Promedio tiempo para 11x11 es: 8.264463e-10
Promedio tiempo para 12x12 es: 8.969907e-10
Promedio tiempo para 13x13 es: 7.055075e-10
Promedio tiempo para 14x14 es: 7.653061e-10
Promedio tiempo para 15x15 es: 7.407407e-10
Promedio tiempo para 16x16 es: 7.446289e-10
Promedio tiempo para 17x17 es: 7.531040e-10
Promedio tiempo para 18x18 es: 7.287380e-10
Promedio tiempo para 19x19 es: 7.289692e-10
Promedio tiempo para 20x20 es: 7.437500e-10
Promedio tiempo para 21x21 es: 8.854335e-10
Promedio tiempo para 22x22 es: 7.231405e-10
Promedio tiempo para 23x23 es: 7.027205e-10
Promedio tiempo para 24x24 es: 6.980613e-10
Promedio tiempo para 25x25 es: 7.040000e-10
Promedio tiempo para 26x26 es: 7.026627e-10
Promedio tiempo para 27x27 es: 7.011126e-10
Promedio tiempo para 28x28 es: 6.992529e-10
Promedio tiempo para 29x29 es: 7.031859e-10
Promedio tiempo para 30x30 es: 6.962963e-10
Promedio tiempo para 31x31 es: 7.032325e-10
Promedio tiempo para 32x32 es: 7.095337e-10
Promedio tiempo para 33x33 es: 7.387929e-10
Promedio tiempo para 34x34 es: 8.039894e-10
Promedio tiempo para 35x35 es: 8.058309e-10
Promedio tiempo para 36x36 es: 8.005401e-10
Promedio tiempo para 37x37 es: 8.015320e-10
Promedio tiempo para 38x38 es: 7.936653e-10
Promedio tiempo para 39x39 es: 7.813685e-10
Promedio tiempo para 40x40 es: 7.835937e-10
Promedio tiempo para 41x41 es: 7.893095e-10
Promedio tiempo para 42x42 es: 7.295378e-10
Promedio tiempo para 43x43 es: 7.357843e-10
Promedio tiempo para 44x44 es: 7.278362e-10
Promedio tiempo para 45x45 es: 7.319616e-10
Promedio tiempo para 46x46 es: 7.227542e-10
Promedio tiempo para 47x47 es: 7.286439e-10
Promedio tiempo para 48x48 es: 7.233796e-10
Promedio tiempo para 49x49 es: 7.220631e-10
Promedio tiempo para 50x50 es: 6.844000e-10
Promedio tiempo para 51x51 es: 6.762105e-10
Promedio tiempo para 52x52 es: 6.752816e-10
Promedio tiempo para 53x53 es: 6.753898e-10
Promedio tiempo para 54x54 es: 6.652314e-10
Promedio tiempo para 55x55 es: 6.686702e-10
Promedio tiempo para 56x56 es: 6.434493e-10
Promedio tiempo para 57x57 es: 6.339332e-10
Promedio tiempo para 58x58 es: 6.283570e-10
Promedio tiempo para 59x59 es: 6.380886e-10
Promedio tiempo para 60x60 es: 6.215278e-10
Promedio tiempo para 61x61 es: 6.018125e-10
Promedio tiempo para 62x62 es: 6.035799e-10
Promedio tiempo para 63x63 es: 5.962879e-10
Promedio tiempo para 64x64 es: 6.000519e-10
Promedio tiempo para 65x65 es: 5.649522e-10
Promedio tiempo para 66x66 es: 5.647035e-10
Promedio tiempo para 67x67 es: 5.655616e-10
Promedio tiempo para 68x68 es: 5.494034e-10
Promedio tiempo para 69x69 es: 5.395590e-10
Promedio tiempo para 70x70 es: 5.357143e-10
Promedio tiempo para 71x71 es: 5.293215e-10
Promedio tiempo para 72x72 es: 5.114562e-10
Promedio tiempo para 73x73 es: 5.111602e-10
Promedio tiempo para 74x74 es: 5.050293e-10
Promedio tiempo para 75x75 es: 4.918519e-10
Promedio tiempo para 76x76 es: 4.884094e-10
Promedio tiempo para 77x77 es: 4.820024e-10
Promedio tiempo para 78x78 es: 4.679150e-10
Promedio tiempo para 79x79 es: 4.681171e-10
Promedio tiempo para 80x80 es: 4.517578e-10
Promedio tiempo para 81x81 es: 4.493443e-10
Promedio tiempo para 82x82 es: 4.430798e-10
Promedio tiempo para 83x83 es: 4.349522e-10
Promedio tiempo para 84x84 es: 4.325093e-10
Promedio tiempo para 85x85 es: 4.186444e-10
Promedio tiempo para 86x86 es: 4.160797e-10
Promedio tiempo para 87x87 es: 4.057688e-10
Promedio tiempo para 88x88 es: 4.003099e-10
Promedio tiempo para 89x89 es: 3.938471e-10
Promedio tiempo para 90x90 es: 3.801097e-10
Promedio tiempo para 91x91 es: 3.455547e-10
Promedio tiempo para 92x92 es: 3.792918e-10
Promedio tiempo para 93x93 es: 3.467987e-10
Promedio tiempo para 94x94 es: 3.516201e-10
Promedio tiempo para 95x95 es: 3.496136e-10
Promedio tiempo para 96x96 es: 3.466571e-10
Promedio tiempo para 97x97 es: 3.380729e-10
Promedio tiempo para 98x98 es: 3.316539e-10
Promedio tiempo para 99x99 es: 3.291254e-10
