Tiempo empleado para Fibonacci de Manera Recursiva

('n=', 0, 'fib(', 0, ')=', 0, 'time', 5.559504229072102e-06, 'seconds process time')
('n=', 1, 'fib(', 1, ')=', 1, 'time', 0.00012701328892572418, 'seconds process time')
('n=', 2, 'fib(', 2, ')=', 1, 'time', 0.00023478214013542952, 'seconds process time')
('n=', 3, 'fib(', 3, ')=', 2, 'time', 0.00034297864551660194, 'seconds process time')
('n=', 4, 'fib(', 4, ')=', 3, 'time', 0.0004516028050692415, 'seconds process time')
('n=', 5, 'fib(', 5, ')=', 5, 'time', 0.000564931160508019, 'seconds process time')
('n=', 6, 'fib(', 6, ')=', 8, 'time', 0.0006795424784611976, 'seconds process time')
('n=', 7, 'fib(', 7, ')=', 13, 'time', 0.0008104046549301256, 'seconds process time')
('n=', 8, 'fib(', 8, ')=', 21, 'time', 0.0009434051022563889, 'seconds process time')
('n=', 9, 'fib(', 9, ')=', 34, 'time', 0.0010879522122122635, 'seconds process time')
('n=', 10, 'fib(', 10, ')=', 55, 'time', 0.0012585862266276304, 'seconds process time')
('n=', 11, 'fib(', 11, ')=', 89, 'time', 0.0014912300959057244, 'seconds process time')
('n=', 12, 'fib(', 12, ')=', 144, 'time', 0.0017820349325033422, 'seconds process time')
('n=', 13, 'fib(', 13, ')=', 233, 'time', 0.0021262965405343453, 'seconds process time')
('n=', 14, 'fib(', 14, ')=', 377, 'time', 0.0025945778582908033, 'seconds process time')
('n=', 15, 'fib(', 15, ')=', 610, 'time', 0.0032715544117231984, 'seconds process time')
('n=', 16, 'fib(', 16, ')=', 987, 'time', 0.004249171847696954, 'seconds process time')
('n=', 17, 'fib(', 17, ')=', 1597, 'time', 0.005358079114311105, 'seconds process time')
('n=', 18, 'fib(', 18, ')=', 2584, 'time', 0.00679799070964078, 'seconds process time')
('n=', 19, 'fib(', 19, ')=', 4181, 'time', 0.009041464493157104, 'seconds process time')
('n=', 20, 'fib(', 20, ')=', 6765, 'time', 0.013634897948885063, 'seconds process time')
('n=', 21, 'fib(', 21, ')=', 10946, 'time', 0.024249274484698106, 'seconds process time')
('n=', 22, 'fib(', 22, ')=', 17711, 'time', 0.03518225337825413, 'seconds process time')
('n=', 23, 'fib(', 23, ')=', 28657, 'time', 0.0508386725956641, 'seconds process time')
('n=', 24, 'fib(', 24, ')=', 46368, 'time', 0.09045655504037484, 'seconds process time')
('n=', 25, 'fib(', 25, ')=', 75025, 'time', 0.15909761548587073, 'seconds process time')
('n=', 26, 'fib(', 26, ')=', 121393, 'time', 0.28765430831641964, 'seconds process time')
