Produco de Matrices cuadradas de 1's y 2's en Java pero compilado en Ideone:

link | https://ideone.com/Vu4aNj |

Éxito	#stdin #stdout 0.36s 49388KB
Ingrese el numero n de los arreglos de 1s y 2s de tamano nxn
Promedio de produco de matrices 2x2 con 1s y 2x2 con 2s es: 1.2035E-6
Promedio de produco de matrices 3x3 con 1s y 3x3 con 2s es: 5.182592592592593E-7
Promedio de produco de matrices 4x4 con 1s y 4x4 con 2s es: 5.3675E-7
Promedio de produco de matrices 5x5 con 1s y 5x5 con 2s es: 4.0764399999999997E-7
Promedio de produco de matrices 6x6 con 1s y 6x6 con 2s es: 3.7799074074074084E-7
Promedio de produco de matrices 7x7 con 1s y 7x7 con 2s es: 3.589110787172012E-7
Promedio de produco de matrices 8x8 con 1s y 8x8 con 2s es: 3.475546875E-7
Promedio de produco de matrices 9x9 con 1s y 9x9 con 2s es: 3.4435253772290813E-7
Promedio de produco de matrices 10x10 con 1s y 10x10 con 2s es: 3.36821E-7
Promedio de produco de matrices 11x11 con 1s y 11x11 con 2s es: 3.300830202854997E-7
Promedio de produco de matrices 12x12 con 1s y 12x12 con 2s es: 1.1997607060185186E-6
Promedio de produco de matrices 13x13 con 1s y 13x13 con 2s es: 2.7122091488393264E-6
Promedio de produco de matrices 14x14 con 1s y 14x14 con 2s es: 8.134475218658893E-9
Promedio de produco de matrices 15x15 con 1s y 15x15 con 2s es: 6.229481481481483E-9
Promedio de produco de matrices 16x16 con 1s y 16x16 con 2s es: 5.8013916015625E-9
Promedio de produco de matrices 17x17 con 1s y 17x17 con 2s es: 5.657337675554651E-9
Promedio de produco de matrices 18x18 con 1s y 18x18 con 2s es: 5.578360768175583E-9
Promedio de produco de matrices 19x19 con 1s y 19x19 con 2s es: 5.3911648928415225E-9
Promedio de produco de matrices 20x20 con 1s y 20x20 con 2s es: 5.4106875E-9
Promedio de produco de matrices 21x21 con 1s y 21x21 con 2s es: 5.219954648526077E-9
Promedio de produco de matrices 22x22 con 1s y 22x22 con 2s es: 5.195905334335087E-9
Promedio de produco de matrices 23x23 con 1s y 23x23 con 2s es: 5.3916331059423035E-9
Promedio de produco de matrices 24x24 con 1s y 24x24 con 2s es: 5.058629918981482E-9
Promedio de produco de matrices 25x25 con 1s y 25x25 con 2s es: 4.971072E-9
Promedio de produco de matrices 26x26 con 1s y 26x26 con 2s es: 4.898554847519345E-9
Promedio de produco de matrices 27x27 con 1s y 27x27 con 2s es: 4.898440278412844E-9
Promedio de produco de matrices 28x28 con 1s y 28x28 con 2s es: 4.967861698250729E-9
Promedio de produco de matrices 29x29 con 1s y 29x29 con 2s es: 4.754581983681168E-9
Promedio de produco de matrices 30x30 con 1s y 30x30 con 2s es: 4.7288333333333326E-9
Promedio de produco de matrices 31x31 con 1s y 31x31 con 2s es: 4.733677956429794E-9
Promedio de produco de matrices 32x32 con 1s y 32x32 con 2s es: 4.87139892578125E-9
Promedio de produco de matrices 33x33 con 1s y 33x33 con 2s es: 4.615173776330801E-9
Promedio de produco de matrices 34x34 con 1s y 34x34 con 2s es: 4.780429472827193E-9
Promedio de produco de matrices 35x35 con 1s y 35x35 con 2s es: 4.596233236151604E-9
Promedio de produco de matrices 36x36 con 1s y 36x36 con 2s es: 4.6753900891632374E-9
Promedio de produco de matrices 37x37 con 1s y 37x37 con 2s es: 4.5407971887153785E-9
Promedio de produco de matrices 38x38 con 1s y 38x38 con 2s es: 4.573416314331536E-9
Promedio de produco de matrices 39x39 con 1s y 39x39 con 2s es: 4.5424231696421046E-9
Promedio de produco de matrices 40x40 con 1s y 40x40 con 2s es: 4.551304687500001E-9
Promedio de produco de matrices 41x41 con 1s y 41x41 con 2s es: 4.4904963654038684E-9
Promedio de produco de matrices 42x42 con 1s y 42x42 con 2s es: 4.467005452974841E-9
Promedio de produco de matrices 43x43 con 1s y 43x43 con 2s es: 4.502528079288616E-9
Promedio de produco de matrices 44x44 con 1s y 44x44 con 2s es: 4.484304564237416E-9
Promedio de produco de matrices 45x45 con 1s y 45x45 con 2s es: 4.453338820301784E-9
Promedio de produco de matrices 46x46 con 1s y 46x46 con 2s es: 4.266006410783267E-9
